2025-09-28 16:16:30,060 - aiogram.dispatcher - ERROR - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientOSError: [Errno 1] [SSL: APPLICATION_DATA_AFTER_CLOSE_NOTIFY] application data after close notify (_ssl.c:2706)
2025-09-28 16:16:30,061 - aiogram.dispatcher - WARNING - Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 7651594720)
2025-09-28 16:16:30,141 - __main__ - INFO - Бот остановлен!
2025-09-28 16:16:30,375 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 16:16:30,375 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 16:16:30,377 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:16:32,689 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 16:16:32,941 - __main__ - INFO - Бот запущен!
2025-09-28 16:16:33,188 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 16:16:33,188 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 16:16:33,189 - aiogram.dispatcher - INFO - Start polling
2025-09-28 16:16:33,189 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 16:16:33,348 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 16:17:04,505 - aiogram.event - INFO - Update id=221272154 is handled. Duration 250 ms by bot id=7651594720
